id_Tipo,nom_subtipo,esp_VidaMin,esp_VidaMax,desc_Subtipo
1,Schnauzer Miniatura,12,14,"Alerta y leal; manto duro, requiere cepillado y stripping."
1,Shiba Inu,12,13,Independiente y limpio; necesita ejercicio y adiestramiento consistente.
1,Shih tzu,9,16,"Cariñoso y familiar; pelaje largo, requiere mantenimiento."
1,Skye terrier,12,14,Terrier alargado y bajo; leal y valiente.
1,Spaniel tibetano,12,15,Perro de compania atento; equilibrado y afectuoso.
1,Teckel,12,16,"‘Dachshund’; vivaz, instinto de caza; cuidar espalda."
1,Terrier Australiano,12,15,Valiente y alerta; buen companero activo.
1,Terrier Brasileno,12,14,"‘Terrier Brasileiro’; agil, sociable y jugueton."
1,Terrier checo,12,15,"‘Cesky Terrier’; tranquilo, adaptable y cazador."
1,Terrier de Manchester,12,16,Elegante y agil; instinto de presa moderado.
1,Terrier de Norfolk,12,15,Pequeno terrier amistoso y trabajador.
1,Terrier de Norwich,12,15,"Robusto, sociable y curioso."
1,Terrier de Sealyham,12,14,Terrier fuerte y bajo; calmado en el hogar.
1,Terrier Escocés (Scottish Terrier),12,15,"‘Scottie’; independiente, valiente; manto duro."
1,Terrier Japonés (Nihon Teria),12,14,"Pequeno terrier de compania, activo y afectuoso."
1,Vallhund Sueco,12,14,Perro vikingo tipo ‘corgi’ nordico; trabajador y leal.
1,Volpino Italiano,12,15,"Spitz italiano; vivaz, buen vigilante casero."
1,Welsh Terrier,12,15,Terrier equilibrado; necesita actividad y grooming regular.
1,West Highland White Terrier (Westie),12,15,‘Westie’; alegre y seguro; manto blanco duro.
1,Whippet,12,15,"Galgo mediano, muy rapido; tranquilo en casa."
1,Shar Pei,8,12,Piel arrugada; cuidar piel y ojos; independiente.
1,Airedale Terrier,10,13,‘Rey de los terriers’; activo e inteligente.
1,Alaskan Malamute,10,12,"Tiron de trineo; fuerte, requiere mucho ejercicio."
1,American Cocker Spaniel,12,15,"Spaniel de caza estadounidense, más pequeño que el inglés. Cabeza redondeada, orejas largas y pelaje sedoso, abundante y en variedad de colores. Alegre, sociable y cariñoso."
1,American Staffordshire Terrier,12,14,"Perro musculoso y compacto, de hocico ancho y fuerte mandíbula. Pelaje corto y brillante en múltiples colores. Valiente, leal y protector."
1,Ariegeois,12,13,"Sabueso francés ágil y ligero. Pelaje corto, blanco con manchas negras y a veces marcas fuego. Orejas largas y caídas. Buen rastreador, dócil y sociable."
1,Australian Stumpy Tail Cattle Dog,12,15,"Perro pastor australiano de cuerpo robusto. Cola naturalmente corta (stumpy). Pelaje corto y denso, moteado azul o rojo. Muy activo, trabajador y enérgico."
1,Barbet,12,14,"Perro de agua francés, de cuerpo compacto y musculoso. Pelaje rizado y lanoso, en negro, marrón, gris o blanco. Excelente nadador y perro de compañía."
1,Basenji,12,14,"Perro africano conocido como “el perro que no ladra”. Cuerpo ágil y elegante, orejas erguidas y cola enroscada. Pelaje corto y fino en varios colores. Independiente, inteligente y curioso."
1,Basset Artesiano de Normandía,12,14,"Basset francés de cuerpo alargado y patas cortas. Pelaje corto y denso, tricolor (blanco, negro y fuego) o bicolor (limón y blanco). Alegre, resistente y buen cazador."
1,Basset Azul de Gascuña,11,13,"Perro francés de orejas largas y cuerpo alargado. Pelaje corto, moteado azul con manchas negras y marcas fuego. Buen rastreador, sociable y amistoso."
1,Beagle,12,15,"Sabueso británico compacto y musculoso. Pelaje corto y denso, tricolor (negro, blanco y fuego) o bicolor. Alegre, sociable y con gran olfato."
1,Beagle-Harrier,12,14,"Raza francesa, mezcla entre Beagle y Harrier. Cuerpo robusto y atlético. Pelaje corto, tricolor típico de los sabuesos. Buen cazador, activo y equilibrado."
1,Bearded Collie,12,14,"Perro pastor escocés, ágil y trabajador. Pelaje largo, abundante y desgreñado, en gris, negro, azul o marrón con blanco. Alegre, vivaz y muy sociable."
1,"Belgian Shepherd Dog (Pastor Belga, todas variedades)",12,14,"Perro pastor belga, con cuatro variedades (Malinois, Groenendael, Tervueren y Laekenois). Cuerpo atlético y elegante, pelaje variable según variedad. Muy inteligente, obediente y protector."
1,Boyero de Appenzell,12,14,"Boyero suizo de tamaño intermedio. Pelaje corto, denso y tricolor (negro, blanco y fuego). Cuerpo compacto y ágil. Enérgico, trabajador y vigilante."
1,Boyero de Entlebuch,11,13,"El más pequeño de los boyeros suizos. Cuerpo alargado, pelaje corto y tricolor. Activo, inteligente y excelente perro de trabajo."
1,Boyero de las Ardenas,11,13,"Perro pastor belga rústico y poco común. Pelaje áspero y denso, generalmente en tonos grises o leonados. Fuerte, enérgico y protector."
1,Braco de Ariège,12,14,"Perro de muestra francés, robusto y elegante. Pelaje corto y fino, blanco moteado con manchas naranjas o castañas. Cabeza alargada y orejas largas. Noble, enérgico y obediente."
1,Braco de Saint Germain,12,14,"Braco francés, de cuerpo armonioso y fuerte. Pelaje corto y fino, blanco con manchas naranjas. Reconocido por su elegancia. Sereno, equilibrado y buen cazador."
1,Braco del Borbonesado,12,14,"Antigua raza francesa de muestra. Cuerpo atlético y musculoso. Pelaje corto, blanco con manchas castañas o naranjas. Muy resistente y trabajador."
1,Braco Francés Tipo Pirineos,12,14,"Variedad ligera y ágil del braco francés. Pelaje corto, blanco con manchas marrones. De constitución más pequeña que otros bracos. Muy activo y obediente."
1,Braco Húngaro de Pelo Corto (Vizsla),12,14,"Perro de caza húngaro elegante y atlético. Pelaje corto y rojizo dorado. Ojos y nariz en tonos avellana. Leal, cariñoso y enérgico."
1,Briquet Griffon Vendeano,12,14,"Sabueso francés de caza. Cuerpo fuerte y ágil, pelaje duro y desordenado, en colores blanco con negro, naranja o leonado. Resistente, alegre y valiente."
1,Buhund Noruego,12,15,"Perro pastor nórdico, de cuerpo compacto y ágil. Pelaje doble y espeso, de color trigo o negro. Orejas erguidas y cola enroscada. Muy trabajador, fiel y enérgico."
1,Bulldog Francés,10,12,"Perro compacto y musculoso, con orejas grandes en forma de murciélago. Pelaje corto, liso y brillante en varios colores (atigrado, blanco, crema). Sociable y juguetón."
1,Bulldog Inglés,8,10,"Perro británico, bajo y robusto. Cabeza grande con arrugas, hocico chato. Pelaje corto en varios colores (blanco, leonado, atigrado). Cariñoso y tranquilo."
1,Caniche (Poodle),12,15,"Perro elegante y atlético, de pelo rizado y denso, en varios colores (blanco, negro, gris, marrón, albaricoque). Inteligente, sociable y muy activo."
1,Cazador de Alces Noruego (Elkhound Noruego),12,14,"Perro de caza nórdico, robusto y musculoso. Pelaje espeso y doble, gris con tonos negros. Orejas erectas y cola enroscada. Valiente, leal y enérgico."
1,Chow Chow,9,12,"Perro robusto y compacto, famoso por su lengua azulada. Pelaje abundante y esponjoso, en colores rojo, crema, negro o azul. Digno, independiente y protector."
1,Cirneco del Etna,12,14,"Galgo siciliano de caza, esbelto y ágil. Pelaje corto y fino, color arena o rojo. Orejas grandes y puntiagudas. Muy rápido, resistente y afectuoso."
1,Cocker ingles,12,15,"Perro compacto, orejas largas y peludas, pelaje sedoso, cola generalmente recortada"
1,Collie de Pelo Corto,8,12,"Cuerpo atlético, cabeza refinada, pelaje relativamente corto en comparación con el collie de pelo largo"
1,Collie de pelo largo,8,12,"Pelaje largo y abundante, cola peluda, melena abundante en el cuello, estructura elegante"
1,Dachsbracke de los Alpes,12,14,"Cuerpo alargado, patas cortas, pelo denso corto, orejas colgantes, aspecto robusto para trabajo de caza"
1,Drever,12,14,"Cuerpo largo, patas cortas, pelaje corto, orejas colgantes, cola larga, puede tener varios colores con marcas blancas "
1,Doberman,10,12,"Apariencia elegante y potente, cuerpo atlético, orejas a menudo recortadas (aunque en muchos países prohibido), pelaje corto y brillante, cabeza alargada"
1,Eurasier,12,14,"Es un perro compacto, bien equilibrado, pelo abundante, orejas erguidas moderadas, cola poblada que se curvan sobre la espalda. Su aspecto combina rasgos de Spitz y perros tipo “nórdico”."
1,Field spaniel,10,14,"Cuerpo de proporciones moderadas, orejas largas colgantes, pelaje sedoso algo ondulado, cabeza noble y expresiva, pelaje generalmente en colores sólidos o con marcas ligeras."
1,Foxhound Americano,10,13,"Es un sabueso atlético: cuerpo fuerte pero elegante, musculado, patas largas, orejas largas colgantes, pelaje corto y denso, colores variados (tricolor, bicolor, moteado)."
1,Gascon Saintongeois,10,12,"Sabueso elegante, orejas largas y delgadas, cuerpo esbelto pero resistente, pelaje corto con colores blancos con manchas grises, negras o fuego, aspecto armonioso."
1,Gran Basset Grifon Vendeano,10,12,"Tipo “basset” (piernas cortas), cuerpo largo, orejas grandes y colgantes, ojos expresivos, pelaje áspero/grifo, aspecto robusto para caza."
1,Grifon azul de Gascuna,10,12,"Sabueso de aspecto clásico, pelaje áspero (grifón) que puede dar un tono “azulado” por mezcla de pelos claros y oscuros, orejas colgantes, constitución atlética."
1,Grifon de muestra de pelo duro,10,13,"Perro de muestra usado en caza, pelaje duro, aspecto rústico, orejas colgantes generalmente, musculatura marcada, buena resistencia al clima."
1,Grifon de muestra eslovaco de pelo duro,12,14,"Raza de muestra eslovaca, pelo áspero, cuerpo bien proporcionado, orejas colgantes moderadas, buen físico de caza en terreno variado."
1,Grifon leonado de Bretana,12,14,"Pelaje leonado (fauve), áspero, cuerpo bien equilibrado para caza, orejas colgantes, expresión vivaz, compacto y resistente."
1,Grifon nivernais,10,12,"Tipo de sabueso francés, pelaje áspero, constitución robusta, orejas largas colgantes, alto olfato, usado en caza mayor tradicional."
1,Harrier,12,15,"Sabueso de tamaño medio, cuerpo atlético, patas largas, orejas caídas, pelaje corto tricolor (blanco, negro y fuego). Se parece a un Beagle más grande."
1,Hokkaido,12,15,"Perro japonés robusto, de constitución fuerte, pelaje doble y espeso, orejas triangulares erguidas, cola enroscada. Resistente al clima frío."
1,Jindo Coreano,12,15,"De tamaño medio, cuerpo musculoso y proporcionado, orejas erguidas, cola enroscada sobre la espalda, pelaje denso (colores blanco, crema, rojo o atigrado). Aspecto similar a un Spitz."
1,Kai,12,15,"Perro japonés raro y antiguo, mediano, pelaje corto o semilargo con patrón atigrado característico (brindle), orejas erguidas, cola curvada. Atlético y ágil."
1,Kelpie Australiano,10,13,"Pastor mediano, muy musculoso y ligero, pelaje corto y duro en colores negro, rojo o marrón, orejas erguidas, mirada vivaz. Destaca por su energía."
1,Kerry Blue Terrier,13,15,"Perro compacto y musculoso, pelaje ondulado de textura suave y sedosa, color azul-grisáceo característico, orejas en forma de “V” caídas hacia delante."
1,Kishu,12,15,"Raza japonesa, cuerpo fuerte y equilibrado, pelaje corto y denso, orejas triangulares erguidas, cola enroscada sobre la espalda. Colores comunes: blanco, rojo, sésamo."
1,Kooikerhondje,12,15,"Spaniel holandés de proporciones casi cuadradas, pelaje semilargo blanco con manchas anaranjadas, orejas con “pendientes” negros en la punta, expresión vivaz."
1,Kromfohrlander,13,15,"Perro de tamaño medio, existen variedades de pelo liso y pelo áspero (este con barba característica), color blanco con manchas marrones, orejas semicaídas."
1,Lagotto romagnolo,15,17,"Raza italiana robusta, pelaje rizado y lanoso (parecido al de un caniche), hocico con barba, orejas medianas caídas, colores variados: blanco, marrón, crema o combinados."
1,Laika del este siberiano,12,15,"Perro de tipo Spitz de Rusia, robusto, pelaje doble muy denso, orejas triangulares erguidas, cola enroscada. Colores variados: negro, gris, blanco, rojo. Criado para caza mayor y trabajo en clima extremo."
1,Laika del Oeste Siberiano,12,14,"Similar a otros laikas, de constitución fuerte, pelaje espeso y resistente al frío, orejas erguidas, cola enroscada sobre la espalda. Muy usado como perro de caza en Siberia."
1,Laika ruso-europeo,12,14,"Perro tipo Spitz de tamaño medio, pelaje abundante bicolor (blanco y negro), orejas erguidas, cola enroscada. Físicamente similar al husky pero más compacto."
1,Nova Scotia Duck Tolling Retriever,12,14,"Retriever más pequeño de la familia, cuerpo compacto y musculoso, pelaje doble de longitud media, rojo o naranja con marcas blancas, orejas caídas medianas, expresión vivaz."
1,Pastor australiano,12,15,"Raza muy activa, cuerpo ágil y musculoso, pelaje medio-largo y denso, colores: merlé azul, rojo, negro o tricolor, orejas triangulares caídas. Cola puede ser corta natural."
1,Pastor Bergamasco,12,15,"Perro italiano de pastoreo, muy robusto, con pelaje largo que forma mechones o cordones (similar a rastas), capa protectora contra el clima, orejas colgantes, expresión noble."
1,Pastor catalan,12,14,"Perro de pastoreo español, cuerpo fuerte y ágil, pelaje largo y abundante, liso u ondulado, colores variados (arena, gris, negro), orejas caídas."
1,Pastor Croata,12,14,"Raza de Croacia, cuerpo ligero y ágil, pelaje rizado o ondulado de color negro, orejas medianas caídas, mirada vivaz. Excelente perro de trabajo."
1,Pastor de Karst,11,13,"Raza eslovena, de constitución poderosa, pelaje largo y denso de color gris, expresión seria, orejas caídas, cola tupida. Utilizado como perro guardián y de pastoreo."
1,Pastor de Picardia,12,14,"Raza francesa, aspecto rústico, pelaje duro y desgreñado, orejas grandes erguidas, cuerpo atlético, expresión alerta y simpática."
1,Pastor Islandes,12,14,"Perro de pastoreo originario de Islandia, tipo Spitz, cuerpo compacto, pelaje doble abundante (corto o largo), orejas erguidas, cola enroscada. Colores variados con marcas blancas."
1,Pastor Lapon,12,15,"Raza nórdica de Finlandia, cuerpo fuerte pero ágil, pelaje largo y denso, orejas erguidas o semi-erguidas, cola peluda curvada. Colores variados."
1,Pastor polaco de las llanuras,12,14,"Perro de pastoreo robusto, cuerpo cuadrado, pelaje largo y denso que cubre los ojos, expresión vivaz, orejas medianas colgantes."
1,Pastor Portugues,12,14,"Perro de pastoreo de Portugal, cuerpo fuerte y rústico, pelaje largo, áspero y desgreñado, orejas triangulares caídas, expresión alerta."
1,Pequeno Basset Grifon Vendeano,12,14,"Perro francés de caza, cuerpo alargado, patas cortas, pelaje áspero y desordenado, orejas largas colgantes, expresión alegre."
1,Pequeno munsterlander,12,14,"Perro de caza versátil, cuerpo atlético y ágil, pelaje semilargo, liso o ligeramente ondulado, de color marrón y blanco moteado o con parches, orejas caídas."
1,Pequeno Sabueso Azul de Gascuna,12,14,"Sabueso francés, elegante, de cuerpo alargado, pelaje corto azulado (mezcla de pelos blancos y negros), orejas largas y finas colgantes."
1,Pequeno Sabueso Suizo,12,14,"Sabueso compacto, cuerpo alargado, patas relativamente cortas, pelaje corto y fino, puede presentarse en variantes de color (blanco-naranja, tricolor, negro-fuego)."
1,Perdiguero aleman,12,14,"Perro de caza alemán, cuerpo musculoso, pelaje largo, ondulado y espeso, generalmente marrón sólido o marrón con marcas blancas. Orejas largas colgantes."
1,Perdiguero frison,13,14,"Raza rara de los Países Bajos, cuerpo fuerte y proporcionado, pelaje semilargo liso (blanco con manchas negras o marrones), orejas caídas con flecos."
1,Perdiguero portugues,12,14,"Perro de muestra portugués, cuerpo proporcionado y musculoso, pelaje corto y denso de color leonado o amarillento, orejas largas y caídas, expresión noble."
1,Perro de agua americano,12,15,"Spaniel de caza, pelaje rizado u ondulado, marrón sólido (chocolate, hígado), orejas largas con pelo rizado, cuerpo atlético y compacto."
1,Perro de agua espanol,10,14,"Raza española de trabajo, pelaje rizado y lanoso (similar a un caniche), colores variados (blanco, marrón, negro o bicolor), orejas medianas colgantes, cuerpo robusto."
1,Perro de agua irlandes,10,12,"Spaniel de pelaje rizado y denso de color hígado oscuro, cuerpo fuerte, cola característica en forma de “rata” (casi sin pelo), orejas largas y cubiertas de rizos."
1,Perro de Agua Portugues,11,13,"Perro robusto, pelaje rizado u ondulado, colores negro, blanco o marrón, orejas caídas, muy utilizado históricamente en barcos de pesca."
1,Perro de Canaan,112,15,"Raza israelí de constitución robusta, pelaje doble corto y áspero, orejas triangulares erguidas, cola enroscada sobre la espalda, expresión alerta. Colores variados: blanco, crema, negro, bicolor."
1,Perro de Caza Polaco,12,14,"Perro de caza polaco, cuerpo musculoso y ágil, pelaje corto y denso de color negro y fuego, orejas medianas colgantes, aspecto elegante y fuerte."
1,Perro de Osos de Carelia,10,13,"Raza finlandesa de caza mayor, cuerpo fuerte y compacto, pelaje negro con marcas blancas, orejas triangulares erguidas, cola curvada. Valiente y enérgico."
1,Perro de Taiwan,12,15,"Perro nativo de Taiwán, cuerpo ligero y atlético, pelaje corto y fino, orejas erguidas, cola curvada. Colores comunes: negro, atigrado, marrón."
1,Perro Finlandes de Laponia,12,14,"Raza nórdica de pastoreo, cuerpo robusto, pelaje largo y denso resistente al frío, orejas triangulares erguidas o semicaídas, cola tupida y curvada sobre la espalda."
1,Perro sin Pelo Mexicano (Xoloitzcuintle),12,14,"Raza prehispánica mexicana, cuerpo esbelto y elegante, sin pelo (aunque existe variedad con pelo corto), piel oscura o en tonos grises/rojizos, orejas grandes y erguidas."
1,Perro Sueco de Laponia (Swedish Lapphund),12,14,"Raza nórdica de pastoreo, cuerpo compacto, pelaje largo y abundante, orejas erguidas, cola peluda curvada. Suele ser negro con marcas blancas."
1,Perro Tailandés con Cresta (Thai Ridgeback),12,13,"Raza tailandesa atlética, pelaje corto con una cresta de pelo que crece en dirección opuesta a lo largo de la espalda, orejas erguidas, cola recta, colores sólidos (azul, negro, rojo, crema)."
1,Pinscher Alemán (Deutscher Pinscher),12,14,"Perro elegante y musculoso, pelaje corto y brillante, orejas erguidas o semicaídas, colores negro y fuego o marrón rojizo. Similar al Doberman pero más pequeño."
1,Pinscher Austriaco (Austrian Pinscher),12,14,"Cuerpo robusto y compacto, pelaje corto y denso, color amarillo-trigo o rojo con marcas blancas, orejas semierguidas o en forma de botón, expresión vivaz."
1,Podenco Ibicenco (Ibizan Hound),12,14,"Perro de caza esbelto y atlético, patas largas, orejas muy grandes y erguidas, pelaje corto o duro (según variedad), colores blanco, rojo o combinados. Muy ágil y veloz."
1,Porcelaine,12,13,"Sabueso francés elegante, cuerpo fino y musculoso, pelaje corto, blanco con motas anaranjadas, orejas largas y delgadas caídas. Aspecto refinado."
1,Puli,12,16,"Pastor húngaro de aspecto inconfundible: pelaje largo en forma de cordones o rastas, cuerpo compacto, orejas colgantes, expresión vivaz. Suele ser negro, aunque hay variantes blancas y grises."
1,Sabueso Austriaco Negro y Fuego (Brandlbracke),12,14,"Sabueso de caza, cuerpo fuerte, pelaje corto negro con marcas color fuego, orejas largas caídas, expresión alerta. Muy resistente."
1,Sabueso Bosnio de Pelo Duro (Barak),12,14,"Cuerpo robusto, pelaje áspero y duro (tipo alambre), de colores marrón, gris o trigo con combinaciones, orejas medianas caídas, expresión rústica."
1,Sabueso de Halden (Haldenstøver),12,14,"Raza noruega de caza, cuerpo robusto y alargado, pelaje corto tricolor (negro, blanco y fuego), orejas largas caídas, expresión noble. Similar al sabueso americano."
1,Sabueso de Hannover (Hannoverscher Schweisshund),10,14,"Sabueso alemán especializado en rastreo de sangre, cuerpo fuerte y musculoso, pelaje corto y denso de color rojo cervato, orejas largas y pesadas."
1,Sabueso de Hygen (Hygenhund),10,13,"Perro de caza noruego, cuerpo compacto, pelaje corto en tonos rojo, marrón o tricolor, orejas largas colgantes, muy resistente y trabajador."
1,Sabueso de Istria de Pelo Corto,12,14,"Sabueso croata, cuerpo elegante y ágil, pelaje corto y blanco con marcas naranjas, orejas largas caídas, expresión refinada."
1,Sabueso de Istria de Pelo Duro,12,14,"Variante croata de pelo áspero, cuerpo fuerte, pelaje duro blanco con marcas anaranjadas, orejas largas colgantes, aspecto rústico y resistente."
1,Sabueso de Montaña de Montenegro (Crnogorski Planinski Goni?),12,14,"Sabueso balcánico, cuerpo robusto y ágil, pelaje corto negro con marcas fuego, orejas largas colgantes, expresión seria. Criado para caza en terrenos montañosos."
1,Sabueso de Posavatz (Posavac Hound),12,14,"Raza croata, cuerpo alargado y fuerte, pelaje corto y denso color rojo-trigo con marcas blancas, orejas largas caídas. Muy apreciado en caza menor."
1,Sabueso de Sangre de Baviera (Bayerischer Gebirgsschweißhund),10,14,"Sabueso alemán especializado en rastreo de piezas heridas, cuerpo musculoso, pelaje corto rojizo, orejas largas pesadas, expresión noble."
1,Sabueso de Schiller (Schillerstövare),12,14,"Sabueso sueco, cuerpo estilizado, pelaje corto tricolor (negro con fuego y pecho blanco), orejas caídas, expresión alerta y elegante."
1,Sabueso de Småland (Smålandsstövare),12,14,"Raza sueca de caza, cuerpo compacto, pelaje corto negro con marcas fuego, orejas caídas. Es el más pequeño de los sabuesos suecos."
1,Sabueso de Westfalia (Westfälische Dachsbracke),12,14,"Raza alemana tipo sabueso con cuerpo alargado y patas cortas, pelaje corto tricolor (blanco, negro y fuego), orejas largas caídas, expresión vivaz."
1,Sabueso del Tirol (Tiroler Bracke),12,141,"Perro austríaco de caza, cuerpo fuerte y ágil, pelaje corto y denso, colores negro-fuego o rojo cervato, orejas largas caídas, muy resistente en montaña."
1,Sabueso Eslovaco (Slovenský Kopov),12,13,"Raza nacional de Eslovaquia, sabueso de caza de color negro con marcas fuego, cuerpo ágil y musculoso, orejas medianas caídas. Valiente y buen rastreador."
1,Sabueso Español (Sabueso Español),10,12,"Raza ibérica de caza mayor, cuerpo robusto y fuerte, pelaje corto blanco con manchas marrones o naranjas, orejas largas y colgantes. Excelente olfato."
1,Sabueso Estirio de Pelo Duro (Steirische Rauhhaarbracke),10,14,"Sabueso austríaco, cuerpo robusto, pelaje áspero y duro de color rojo o cervato, orejas medianas caídas. Especializado en caza en terrenos difíciles."
1,Sabueso Finlandés (Suomenajokoira),12,14,"Raza nacional de Finlandia, sabueso de cuerpo fuerte y elegante, pelaje corto tricolor (negro, fuego y blanco), orejas largas caídas. Gran resistencia al frío."
1,Sabueso Griego (Hellinikós Ichnilátis),11,13,"Perro de caza griego, cuerpo delgado y ágil, pelaje corto negro con marcas fuego, orejas largas caídas. Muy resistente en terrenos montañosos."
1,Sabueso Italiano de Pelo Corto (Segugio Italiano a Pelo Raso),11,13,"Sabueso italiano, cuerpo alargado y esbelto, pelaje corto y fino de color cervato o negro-fuego, orejas largas y finas, expresión elegante."
1,Sabueso Italiano de Pelo Duro (Segugio Italiano a Pelo Forte),11,13,"Variante italiana con pelaje áspero y duro, cuerpo atlético, colores similares al de pelo corto (cervato o negro-fuego), orejas largas caídas."
1,Sabueso Noruego (Norwegian Hound / Dunker),12,13,"Sabueso de Noruega, cuerpo robusto y atlético, pelaje corto moteado azul-grisáceo con negro y fuego, orejas largas caídas. Muy usado en caza menor."
1,Sabueso Serbio (Srpski Goni?),12,14,"Sabueso de los Balcanes, cuerpo alargado y fuerte, pelaje corto rojo con silla de color negro, orejas largas colgantes, expresión vivaz."
1,Sabueso Suizo (Schweizer Laufhund),12,14,"Raza suiza de caza, de cuerpo elegante y ágil, pelaje corto, existen variedades de color (tricolor, blanco-naranja, negro-fuego), orejas muy largas y finas."
1,Sabueso Tricolor Serbio (Srpski Trobojni Goni?),12,14,"Variante serbia de pelaje tricolor (negro, fuego y blanco), cuerpo compacto y musculoso, orejas medianas caídas. Raza resistente de caza."
1,Saluki,12,14,"Galgo oriental de aspecto elegante y refinado, cuerpo delgado y alto, pelaje corto con flecos en orejas y cola, colores variados (arena, crema, blanco, negro). Muy veloz."
1,Samoyedo (Samoyed),12,14,"Raza nórdica de trabajo, pelaje largo, espeso y blanco puro, expresión característica de “sonrisa”, cuerpo fuerte y elegante, orejas triangulares erguidas, cola curvada sobre la espalda."
1,Schapendoes Neerlandés,12,14,"Pastor holandés de cuerpo ágil, cubierto por un pelaje largo, abundante y ondulado, que le da un aspecto desaliñado. Orejas medianas caídas y cola peluda en movimiento constante."
